time,bid,bid_depth,bid_depth_total,offer,offer_depth,offer_depth_total
20121130T011226,586.61,100,100,587.2,100,100
20121130T011233,586.61,100,100,587.35,500,500
20121130T011241,586.61,100,100,586.8,100,100
20121130T011244,586.61,100,100,587.35,500,500
20121130T011247,586.61,100,100,586.75,200,200
20121130T011253,586.61,100,100,587.35,500,500
20121130T011328,586.61,100,100,587.1,100,100
20121130T011346,586.5,300,300,587.1,100,100
20121130T011348,586.5,300,300,587.09,200,200
20121130T011352,586.5,300,300,587.1,100,100
20121130T011357,586.55,100,100,587.1,100,100
20121130T011414,586.55,100,100,586.97,300,300
20121130T011427,586.5,300,300,586.97,300,300
20121130T011506,586.5,300,300,586.7,100,100
20121130T011541,586.55,100,100,586.7,100,100
20121130T011544,586.55,100,100,586.97,300,300
20121130T011638,586.5,300,300,586.97,300,300
20121130T011756,586.52,100,100,586.97,300,300
20121130T011818,586.52,100,100,586.75,2000,2000
20121130T011821,586.5,300,300,586.75,2000,2000
20121130T011824,586.5,300,300,586.74,100,100
20121130T011825,586.5,200,200,586.74,100,100
20121130T011911,586.5,200,200,586.7,100,100
20121130T012000,586.3,200,200,586.7,100,100
20121130T012021,586.3,200,200,586.65,100,100
20121130T012027,586.3,200,200,586.5,200,200
20121130T012031,586.45,100,100,586.5,200,200
20121130T012032,586.1,100,100,586.65,100,100
20121130T012045,586.16,100,100,586.65,100,100
20121130T012109,586.17,200,200,586.65,100,100
20121130T012112,586.2,500,500,586.65,100,100
20121130T012122,586.2,500,500,586.6,100,100
20121130T012135,586.3,100,100,586.6,100,100
20121130T012141,586.2,500,500,586.6,100,100
20121130T012145,586.3,300,300,586.6,100,100
20121130T012158,586.35,100,100,586.6,100,100
20121130T012206,586.35,200,200,586.6,100,100
20121130T012212,586.35,100,100,586.6,100,100
20121130T012218,586.36,200,200,586.6,100,100
20121130T012225,586.44,100,100,586.6,100,100
20121130T012235,586.3,400,400,586.6,100,100
20121130T012241,586.32,100,100,586.4,100,100
20121130T012243,586.32,100,100,586.6,100,100
20121130T012331,586.32,100,100,586.48,100,100
20121130T012409,586.32,100,100,586.6,100,100
20121130T012420,586.5,500,500,586.6,100,100
20121130T012423,586.5,500,500,587.35,400,400
20121130T012433,586.5,400,400,587.35,400,400
20121130T012449,586.52,100,100,587.35,400,400
20121130T012452,586.5,400,400,587.35,400,400
20121130T012455,586.32,100,100,586.5,500,500
20121130T012457,586.52,500,500,587.35,400,400
20121130T012500,586.32,100,100,587.35,400,400
20121130T012521,586.35,100,100,587.35,400,400
20121130T012550,586.4,500,500,587.35,400,400
20121130T012554,586.41,100,100,587.35,400,400
20121130T012600,586.42,100,100,587.35,400,400
20121130T012623,586.4,400,400,587.35,400,400
20121130T012642,586.4,300,300,587.35,400,400
20121130T012736,586.4,300,300,587.19,100,100
20121130T012739,586.4,100,100,587.19,100,100
20121130T012747,586.36,100,100,587.19,100,100
20121130T012755,586.32,100,100,587.19,100,100
20121130T012844,587.,100,100,587.19,100,100
20121130T012846,586.32,100,100,587.19,100,100
20121130T012847,586.5,100,100,587.19,100,100
20121130T012857,586.32,100,100,587.19,100,100
20121130T012928,586.32,100,100,586.78,100,100
20121130T012941,586.33,100,100,586.78,100,100
20121130T012942,586.4,500,500,586.78,100,100
20121130T013014,586.5,300,300,586.78,100,100
20121130T013154,586.45,300,300,586.78,100,100
20121130T013211,586.41,300,300,586.78,100,100
20121130T013217,586.42,100,100,586.78,100,100
20121130T013236,586.45,500,500,586.78,100,100
20121130T013240,586.46,100,100,586.78,100,100
20121130T013249,586.45,500,500,586.78,100,100
20121130T013250,586.5,500,500,586.78,100,100
20121130T013332,586.51,300,300,586.78,100,100
20121130T013339,586.51,300,300,586.54,100,100
20121130T013344,586.53,1000,1000,586.54,100,100
20121130T013348,586.55,900,900,586.8,100,100
20121130T013352,586.56,100,100,586.8,100,100
20121130T013423,586.6,1000,1000,586.8,100,100
20121130T013425,586.61,100,100,586.8,100,100
20121130T013428,586.6,900,900,586.8,100,100
20121130T013440,586.61,100,100,586.8,100,100
20121130T013453,586.62,100,100,586.8,100,100
20121130T013501,586.65,1000,1000,586.8,100,100
20121130T013504,586.66,100,100,586.8,100,100
20121130T013506,586.8,200,200,586.86,100,100
20121130T013508,586.8,200,200,587.,200,200
20121130T013513,586.8,100,100,587.,200,200
20121130T013534,586.8,100,100,586.98,100,100
20121130T013601,586.75,100,100,586.98,100,100
20121130T013622,586.7,100,100,586.98,100,100
20121130T013633,586.7,1000,1000,586.98,100,100
20121130T013637,586.71,100,100,586.98,100,100
20121130T013645,586.72,100,100,586.98,100,100
20121130T013704,586.72,200,200,586.98,100,100
20121130T013707,586.75,1000,1000,586.98,100,100
20121130T013712,586.76,100,100,586.98,100,100
20121130T013730,586.8,100,100,586.98,100,100
20121130T013808,586.72,200,200,586.98,100,100
20121130T013815,586.75,1000,1000,586.98,100,100
20121130T013816,586.75,1000,1000,587.,100,100
20121130T013826,586.77,100,100,587.,100,100
20121130T013843,586.77,200,200,587.,100,100
20121130T013902,587.,800,800,587.19,100,100
20121130T013907,586.77,200,200,587.19,100,100
20121130T013923,586.8,300,300,587.19,100,100
20121130T013943,586.82,1000,1000,587.19,100,100
20121130T013954,587.19,800,800,587.5,100,100
20121130T013956,587.19,700,700,587.5,100,100
20121130T013957,586.82,1000,1000,587.5,100,100
20121130T014000,586.85,100,100,587.5,100,100
20121130T014008,586.85,100,100,587.48,100,100
20121130T014042,586.98,1000,1000,587.48,100,100
20121130T014047,587.,100,100,587.48,100,100
20121130T014055,587.,100,100,587.5,100,100
20121130T014111,587.,1100,1100,587.5,100,100
20121130T014159,587.,1200,1200,587.5,100,100
20121130T014219,587.,1200,1200,587.93,100,100
20121130T014230,587.,1200,1200,587.92,100,100
20121130T014232,587.25,300,300,587.92,100,100
20121130T014325,587.25,300,300,587.9,300,300
20121130T014349,587.25,300,300,587.89,100,100
20121130T014358,587.25,300,300,587.89,300,300
20121130T014409,587.25,300,300,587.88,100,100
20121130T014421,587.25,300,300,587.8,300,300
20121130T014444,587.25,300,300,587.52,200,200
20121130T014445,587.,1100,1100,587.52,200,200
20121130T014448,587.,1100,1100,587.5,100,100
20121130T014547,587.25,100,100,587.5,100,100
20121130T014548,587.,1100,1100,587.5,100,100
20121130T014629,587.1,100,100,587.5,100,100
20121130T014637,587.1,100,100,587.5,200,200
20121130T014646,587.,100,100,587.5,200,200
20121130T014652,587.,100,100,587.5,400,400
20121130T014655,587.,100,100,587.5,1100,1100
20121130T014731,587.,100,100,587.4,200,200
20121130T014827,586.8,1500,1500,587.4,200,200
20121130T014849,587.,100,100,587.4,200,200
20121130T015056,587.,100,100,587.25,100,100
20121130T015116,586.81,100,100,587.25,100,100
20121130T015226,586.81,100,100,587.24,400,400
20121130T015231,586.81,100,100,587.,100,100
20121130T015235,586.81,100,100,587.24,400,400
20121130T015244,586.81,100,100,587.,200,200
20121130T015246,587.,1200,1200,587.24,400,400
20121130T015313,587.,1200,1200,587.13,500,500
20121130T015322,587.,200,200,587.13,400,400
20121130T015324,587.,100,100,587.13,400,400
20121130T015325,586.85,100,100,587.13,400,400
20121130T015333,586.81,100,100,587.13,400,400
20121130T015352,586.81,100,100,587.1,300,300
20121130T015408,586.72,100,100,587.1,300,300
20121130T015411,586.72,100,100,587.08,400,400
20121130T015502,586.72,100,100,587.,400,400
20121130T015529,586.73,100,100,587.,400,400
20121130T015543,586.73,200,200,587.,400,400
20121130T015554,586.75,1000,1000,587.,400,400
20121130T015637,586.75,1000,1000,586.9,300,300
20121130T015643,586.76,100,100,586.9,300,300
20121130T015723,586.76,200,200,586.9,300,300
20121130T015750,586.76,200,200,586.9,100,100
20121130T015834,586.76,100,100,586.9,100,100
20121130T015839,586.76,100,100,586.8,100,100
20121130T015846,586.72,100,100,586.8,100,100
20121130T015849,586.72,100,100,586.76,100,100
20121130T015854,586.51,100,100,586.76,100,100
20121130T015901,586.51,1100,1100,586.76,100,100
20121130T015904,586.51,1100,1100,586.8,400,400
20121130T015906,586.51,1100,1100,586.8,300,300
20121130T015907,586.51,1100,1100,586.8,100,100
20121130T015914,586.55,1000,1000,586.8,100,100
20121130T015932,586.57,100,100,586.8,100,100
20121130T015935,586.57,100,100,587.,500,500
20121130T015937,586.57,100,100,587.,400,400
20121130T015939,586.57,100,100,586.78,400,400
20121130T015942,586.55,1000,1000,586.78,400,400
20121130T015947,586.56,100,100,586.78,400,400
20121130T015948,586.55,1000,1000,586.78,400,400
20121130T015952,586.55,900,900,586.78,400,400
20121130T015956,586.63,100,100,586.78,400,400
20121130T020000,586.63,200,200,586.78,400,400
20121130T020001,586.63,100,100,586.8,100,100
20121130T100201,588.81,100,100,589.51,100,100
20121130T100203,588.8,100,100,589.5,200,200
20121130T100204,588.8,100,100,589.47,100,100
20121130T100223,588.8,100,100,589.45,200,200
20121130T100228,588.8,100,100,589.42,200,200
20121130T100230,588.8,100,100,589.4,200,200
20121130T100233,588.8,100,100,589.35,100,100
20121130T100240,588.8,100,100,589.36,100,100
20121130T100242,588.8,100,100,589.34,100,100
20121130T100243,588.8,100,100,589.35,100,100
20121130T100246,588.8,100,100,589.34,100,100
20121130T100247,588.8,100,100,589.36,100,100
20121130T100250,588.8,100,100,589.36,200,200
20121130T100254,588.8,100,100,589.36,100,100
20121130T100404,588.8,100,100,589.4,100,100
20121130T100409,588.8,100,100,589.48,100,100
20121130T100447,588.8,100,100,589.48,200,200
20121130T100450,588.8,100,100,589.46,100,100
20121130T100459,588.8,100,100,589.47,100,100
20121130T100501,588.8,100,100,589.48,100,100
20121130T100519,588.8,100,100,589.46,100,100
20121130T100534,588.8,100,100,589.47,100,100
20121130T100535,588.8,100,100,589.48,100,100
20121130T100617,588.8,100,100,589.46,100,100
20121130T100621,588.8,100,100,589.48,100,100
20121130T100623,588.8,100,100,589.48,200,200
20121130T100640,588.8,100,100,589.48,100,100
20121130T100643,588.8,100,100,589.46,100,100
20121130T100647,588.8,100,100,589.42,100,100
20121130T100652,588.8,100,100,589.46,100,100
20121130T100655,588.8,100,100,589.42,100,100
20121130T100657,588.8,100,100,589.37,100,100
20121130T100659,588.8,100,100,589.36,100,100
20121130T100701,588.8,100,100,589.34,100,100
20121130T100702,588.8,100,100,589.38,100,100
20121130T100703,588.8,100,100,589.39,100,100
20121130T100706,588.8,100,100,589.42,100,100
20121130T100707,588.8,100,100,589.4,100,100
20121130T100709,588.8,100,100,589.38,100,100
20121130T100710,588.8,100,100,589.36,100,100
20121130T100722,588.8,100,100,589.35,100,100
20121130T100724,588.8,100,100,589.34,100,100
20121130T100726,588.8,100,100,589.36,100,100
20121130T100729,588.8,100,100,589.38,100,100
20121130T100749,588.8,100,100,589.4,100,100
20121130T100752,588.8,100,100,589.37,100,100
20121130T100753,588.8,100,100,589.39,100,100
20121130T100757,588.8,100,100,589.38,100,100
20121130T100759,588.8,100,100,589.39,100,100
20121130T100802,588.8,100,100,589.43,100,100
20121130T100804,588.8,100,100,589.45,100,100
20121130T100815,588.8,100,100,589.47,100,100
20121130T100834,588.8,100,100,589.45,100,100
20121130T100854,588.8,100,100,589.49,100,100
20121130T100900,588.8,100,100,589.47,100,100
20121130T100910,588.8,100,100,589.46,100,100
20121130T100915,588.8,100,100,589.52,100,100
20121130T100925,588.8,100,100,589.53,100,100
20121130T100927,588.8,100,100,590.71,200,200
20121130T101059,588.8,100,100,590.,100,100
20121130T101146,588.8,100,100,589.86,100,100
20121130T101203,588.8,100,100,589.88,100,100
20121130T101209,588.8,100,100,589.9,100,100
20121130T101249,588.8,100,100,589.91,100,100
20121130T101254,588.8,100,100,589.94,100,100
20121130T101259,588.8,100,100,589.93,100,100
20121130T101303,588.8,100,100,589.95,100,100
20121130T101308,588.8,100,100,589.74,100,100
20121130T101313,588.8,100,100,589.77,100,100
20121130T101315,588.8,100,100,589.75,100,100
20121130T101320,588.8,100,100,589.77,100,100
20121130T101321,588.8,100,100,589.76,100,100
20121130T101329,588.8,100,100,589.78,100,100
20121130T101332,588.8,100,100,589.79,100,100
20121130T101333,588.8,100,100,589.78,100,100
20121130T101352,588.8,100,100,589.81,100,100
20121130T101359,588.8,100,100,589.82,100,100
20121130T101408,588.8,100,100,589.83,100,100
20121130T101417,588.8,100,100,589.82,100,100
20121130T101419,588.8,100,100,589.86,100,100
20121130T101420,588.8,100,100,589.87,100,100
20121130T101423,588.8,100,100,589.86,100,100
20121130T101425,588.8,100,100,589.85,100,100
20121130T101426,588.8,100,100,589.86,100,100
20121130T101434,588.8,100,100,589.88,100,100
20121130T101435,588.8,100,100,589.87,100,100
20121130T101451,588.8,100,100,589.35,100,100
20121130T101728,588.81,100,100,589.35,100,100
20121130T101736,588.82,100,100,589.35,100,100
20121130T101737,588.8,200,200,589.35,100,100
20121130T101743,588.81,100,100,589.35,100,100
20121130T101756,588.84,100,100,589.35,100,100
20121130T101757,588.88,100,100,589.35,100,100
20121130T101802,588.9,100,100,589.35,100,100
20121130T101810,588.88,100,100,589.35,100,100
20121130T101811,588.89,100,100,589.35,100,100
20121130T101831,588.85,100,100,589.35,100,100
20121130T101837,588.86,100,100,589.35,100,100
20121130T101842,588.83,100,100,589.35,100,100
20121130T101845,588.84,100,100,589.35,100,100
20121130T101849,589.,100,100,589.35,100,100
20121130T101949,588.9,100,100,589.79,100,100
20121130T101953,588.88,100,100,589.67,100,100
20121130T101954,588.88,100,100,589.69,100,100
20121130T101955,588.89,100,100,589.69,100,100
20121130T101958,588.81,100,100,589.67,100,100
20121130T101959,588.81,100,100,589.7,100,100
20121130T102002,588.8,100,100,589.67,100,100
20121130T102003,588.8,100,100,589.69,100,100
20121130T102005,589.,100,100,589.66,100,100
20121130T102009,589.,100,100,589.91,100,100
20121130T102010,589.,100,100,589.66,100,100
20121130T102021,589.,100,100,589.67,100,100
20121130T102023,589.,100,100,589.69,100,100
20121130T102033,588.79,100,100,589.68,100,100
20121130T102040,588.8,100,100,589.68,100,100
20121130T102042,588.8,200,200,589.68,100,100
20121130T102046,588.81,100,100,589.69,100,100
20121130T102050,588.8,200,200,589.69,100,100
20121130T102116,588.8,100,100,589.66,100,100
20121130T102121,588.8,100,100,589.68,100,100
20121130T102123,588.8,200,200,589.68,100,100
20121130T102129,588.8,200,200,589.7,100,100
20121130T102131,588.81,100,100,589.69,100,100
20121130T102135,588.8,100,100,589.66,100,100
20121130T102136,588.8,100,100,589.62,100,100
20121130T102139,588.8,100,100,589.67,100,100
20121130T102145,588.8,100,100,589.68,100,100
20121130T102147,588.81,100,100,589.69,100,100
20121130T102152,588.8,200,200,589.69,100,100
20121130T102153,588.8,100,100,589.67,100,100
20121130T102204,588.8,100,100,589.66,100,100
20121130T102215,588.8,100,100,589.65,100,100
20121130T102219,588.8,100,100,589.67,100,100
20121130T102235,588.8,100,100,589.65,100,100
20121130T102247,588.81,100,100,589.69,100,100
20121130T102250,588.81,100,100,589.7,100,100
20121130T102259,588.83,100,100,589.72,100,100
20121130T102304,588.81,100,100,589.7,100,100
20121130T102311,588.83,100,100,589.72,100,100
20121130T102312,588.81,100,100,589.7,100,100
20121130T102315,588.82,100,100,589.7,100,100
20121130T102320,588.81,100,100,589.7,100,100
20121130T102342,588.8,200,200,589.69,100,100
20121130T102350,588.8,100,100,589.68,100,100
20121130T102351,588.8,100,100,589.67,100,100
20121130T102410,588.81,100,100,589.74,100,100
20121130T102411,588.81,100,100,589.73,100,100
20121130T102415,588.8,100,100,589.69,100,100
20121130T102416,588.8,100,100,589.68,100,100
20121130T102419,588.8,100,100,589.7,100,100
20121130T102422,588.8,200,200,589.72,100,100
20121130T102425,588.82,100,100,589.72,100,100
20121130T102440,589.,100,100,589.82,100,100
20121130T102443,589.,100,100,589.78,100,100
20121130T102451,589.,100,100,589.79,100,100
20121130T102457,589.,100,100,589.78,100,100
20121130T102500,589.,100,100,589.77,100,100
20121130T102514,589.,100,100,589.74,100,100
20121130T102538,589.,100,100,589.69,200,200
20121130T102539,589.,100,100,589.69,100,100
20121130T102556,589.,100,100,589.59,100,100
20121130T102558,589.,100,100,589.6,100,100
20121130T102601,589.,100,100,589.58,100,100
20121130T102622,589.,100,100,589.57,100,100
20121130T102632,589.,100,100,589.58,100,100
