time,bid,bid_depth,bid_depth_total,offer,offer_depth,offer_depth_total
20121130T011224,686.85,100,100,687.49,100,100
20121130T012158,686.86,100,100,687.49,100,100
20121130T012416,686.87,100,100,687.49,100,100
20121130T012624,687.,100,100,687.49,100,100
20121130T012626,686.87,100,100,687.49,100,100
20121130T012701,686.89,200,200,687.49,100,100
20121130T012719,686.87,100,100,687.49,100,100
20121130T013004,686.87,200,200,687.49,100,100
20121130T013007,686.88,100,100,687.49,100,100
20121130T013127,686.88,100,100,687.5,1100,1100
20121130T013141,686.88,100,100,687.5,1000,1000
20121130T013142,686.88,100,100,687.5,900,900
20121130T013205,686.88,100,100,687.5,600,600
20121130T013207,686.88,100,100,687.5,500,500
20121130T013213,686.88,100,100,687.5,400,400
20121130T013223,686.87,100,100,687.5,400,400
20121130T013235,686.87,100,100,688.7,2500,2500
20121130T013244,687.5,300,300,688.7,2500,2500
20121130T013409,687.5,300,300,688.5,100,100
20121130T013721,687.5,300,300,688.25,100,100
20121130T013755,687.5,200,200,688.25,100,100
20121130T014600,687.5,300,300,688.25,100,100
20121130T014852,687.5,300,300,688.49,100,100
20121130T014947,687.75,100,100,688.49,100,100
20121130T015749,687.75,100,100,688.4,100,100
20121130T015756,687.75,100,100,688.39,100,100
20121130T015811,687.75,200,200,688.39,100,100
20121130T015915,687.75,200,200,688.,100,100
20121130T015918,687.75,200,200,687.79,100,100
20121130T015919,687.75,100,100,688.,100,100
20121130T015947,687.51,100,100,688.68,100,100
20121130T015955,687.51,100,100,688.65,100,100
20121130T020000,687.51,100,100,688.65,200,200
20121130T020001,686.88,100,100,688.7,2500,2500
20121130T100201,689.11,100,100,698.86,100,100
20121130T100203,689.08,100,100,698.86,100,100
20121130T100204,689.07,100,100,698.86,100,100
20121130T100221,689.05,100,100,698.86,100,100
20121130T100223,689.02,100,100,698.86,100,100
20121130T100228,688.99,100,100,698.86,100,100
20121130T100230,688.93,100,100,698.86,100,100
20121130T100233,688.88,100,100,693.9,100,100
20121130T100234,688.9,100,100,698.86,100,100
20121130T100240,688.93,100,100,698.86,100,100
20121130T100241,688.91,100,100,698.86,100,100
20121130T100243,688.89,100,100,698.86,100,100
20121130T100244,688.9,100,100,698.86,100,100
20121130T100246,688.91,100,100,698.86,100,100
20121130T100247,688.92,100,100,698.86,100,100
20121130T100254,688.98,100,100,698.86,100,100
20121130T100311,688.98,100,100,698.53,100,100
20121130T100320,688.96,100,100,698.53,100,100
20121130T100328,689.,100,100,698.53,100,100
20121130T100330,688.97,100,100,698.53,100,100
20121130T100332,688.84,100,100,691.,100,100
20121130T100336,688.86,100,100,691.,100,100
20121130T100357,688.88,100,100,691.,100,100
20121130T100358,688.89,100,100,691.,100,100
20121130T100405,688.9,100,100,691.,100,100
20121130T100410,688.91,100,100,691.,100,100
20121130T100424,688.9,100,100,691.,100,100
20121130T100430,688.91,100,100,691.,100,100
20121130T100433,688.89,100,100,691.,100,100
20121130T100448,688.88,100,100,691.,100,100
20121130T100450,688.84,100,100,691.,100,100
20121130T100452,688.86,100,100,691.,100,100
20121130T100459,688.87,100,100,691.,100,100
20121130T100501,688.88,100,100,691.,100,100
20121130T100508,688.91,100,100,691.,100,100
20121130T100512,688.88,100,100,691.,100,100
20121130T100514,688.89,100,100,691.,100,100
20121130T100519,688.85,100,100,691.,100,100
20121130T100534,688.84,100,100,691.,100,100
20121130T100535,688.89,100,100,691.,100,100
20121130T100617,688.86,100,100,691.,100,100
20121130T100621,688.88,100,100,691.,100,100
20121130T100640,688.9,100,100,691.,100,100
20121130T100643,688.86,100,100,691.,100,100
20121130T100647,688.81,100,100,691.,100,100
20121130T100652,688.84,100,100,691.,100,100
20121130T100655,688.81,100,100,691.,100,100
20121130T100657,688.77,100,100,691.,100,100
20121130T100659,688.73,100,100,691.,100,100
20121130T100702,688.77,100,100,691.,100,100
20121130T100703,688.78,100,100,691.,100,100
20121130T100705,688.79,100,100,691.,100,100
20121130T100706,688.78,100,100,691.,100,100
20121130T100707,688.79,100,100,691.,100,100
20121130T100710,688.73,100,100,691.,100,100
20121130T100714,688.74,100,100,691.,100,100
20121130T100724,688.71,100,100,691.,100,100
20121130T100726,688.75,100,100,691.,100,100
20121130T100729,688.77,100,100,691.,100,100
20121130T100742,688.78,100,100,691.,100,100
20121130T100749,688.79,100,100,691.,100,100
20121130T100752,688.77,100,100,691.,100,100
20121130T100759,688.79,100,100,691.,100,100
20121130T100802,688.83,100,100,691.,100,100
20121130T100804,688.85,100,100,691.,100,100
20121130T100816,688.87,100,100,691.,100,100
20121130T100833,688.86,100,100,691.,100,100
20121130T100834,688.82,100,100,691.,100,100
20121130T100844,688.84,100,100,691.,100,100
20121130T100854,688.88,100,100,691.,100,100
20121130T100900,688.86,100,100,691.,100,100
20121130T100908,688.84,100,100,691.,100,100
20121130T100915,688.91,100,100,691.,100,100
20121130T100916,688.92,100,100,691.,100,100
20121130T100925,689.,100,100,691.,100,100
20121130T101110,689.,100,100,690.,100,100
20121130T101333,689.,100,100,690.,200,200
20121130T101509,688.26,100,100,690.,200,200
20121130T101511,687.86,100,100,690.,200,200
20121130T101512,688.04,100,100,690.,200,200
20121130T101514,688.07,100,100,690.,200,200
20121130T101514,688.08,100,100,690.,200,200
20121130T101517,687.87,100,100,690.,200,200
20121130T101518,688.,100,100,690.,100,100
20121130T101519,688.03,100,100,690.,100,100
20121130T101520,688.04,100,100,690.,100,100
20121130T101525,684.,100,100,690.,100,100
20121130T101545,686.52,100,100,690.,100,100
20121130T101547,686.91,100,100,690.,100,100
20121130T101548,686.92,100,100,690.,100,100
20121130T101550,686.84,100,100,690.,100,100
20121130T101601,686.87,100,100,690.,100,100
20121130T101606,686.88,100,100,690.,100,100
20121130T101617,686.9,100,100,690.,100,100
20121130T101634,686.,100,100,690.,100,100
20121130T101704,687.,100,100,690.,100,100
20121130T101919,688.5,100,100,690.,100,100
20121130T102300,689.25,100,100,690.,100,100
20121130T102541,689.25,100,100,693.4,100,100
20121130T102828,687.29,100,100,693.4,100,100
20121130T102831,687.3,100,100,693.4,100,100
20121130T102848,687.33,100,100,693.4,100,100
20121130T102851,687.35,100,100,693.4,100,100
20121130T102853,687.32,100,100,693.4,100,100
20121130T102857,687.77,100,100,693.4,100,100
20121130T102904,687.36,100,100,693.4,100,100
20121130T102905,687.58,100,100,693.4,100,100
20121130T102907,687.6,100,100,693.4,100,100
20121130T102909,687.62,100,100,693.4,100,100
20121130T102910,687.63,100,100,693.4,100,100
20121130T102916,689.44,100,100,693.4,100,100
20121130T102918,689.5,100,100,693.4,100,100
20121130T102938,689.47,100,100,693.4,100,100
20121130T102940,689.41,100,100,693.4,100,100
20121130T102941,689.45,100,100,693.4,100,100
20121130T102942,689.47,100,100,693.4,100,100
20121130T102950,689.48,100,100,693.4,100,100
20121130T102959,689.43,100,100,693.4,100,100
20121130T103002,689.44,100,100,693.4,100,100
20121130T103022,689.43,100,100,693.4,100,100
20121130T103028,689.49,100,100,693.4,100,100
20121130T103029,689.45,100,100,693.4,100,100
20121130T103100,684.,100,100,693.4,100,100
20121130T103102,689.43,100,100,693.4,100,100
20121130T103106,689.4,100,100,693.4,100,100
20121130T103112,689.38,100,100,693.4,100,100
20121130T103130,689.35,100,100,693.4,100,100
